Comment,Sentiment,Sentiment_Type
thank made easi grab,0,Neutral
tri start day thank alex,0,Neutral
right want career shift,0.285714286,Positive
hello alex couldnt find file use start sql tutori github repositori parksandrecreationsql,0,Neutral
hi alex thank bootcamp finish sql part great stuff hope still relev cant wait learn excel tableau pythonhi anyon idea certif like powerbi pl certif likewis want know sql excel python,0.8,Positive
thankyou much alex,0.2,Positive
alextheanalyst would like ask scenario appli job data analyst im pharmaci graduat,0,Neutral
learn data analysi channel platform well hw cover job requir bachelor master degre analhsitc,0,Neutral
statist etc pleas shed light expereinc regard,0.4,Positive
look colleagu advanc field data scienc someon exchang idea learn togeth,0,Neutral
hello github find park rec file thank,0,Neutral
good buy data analyst cours udemi boom page come didnt see channel,0.7,Positive
begin year ive regist analyst builder definit buy lifetim access option thank ever much alex,0.2,Positive
thank much alex creat ive start googl data analyt program other coursera switch free bootcamp ,0.158333333,Positive
handsonstraightforward piec multipl cours togeth ger rang skill think need take coursera cours mention video free bootcamp would need,0.4,Positive
alex deserv someth assist,0,Neutral
covid analysi global number wasnt total case total death total case bigger also possibl statement sql querythank hope hear,0,Neutral
thank teach us complet play list along project elig verifi certif requir,0,Neutral
thank much alex,0.2,Positive
thank much,0.2,Positive
thank much amaz job,0.2,Positive
hello highli consid boot camp would like know program would need download much get,0.2,Positive
start alreadi get new laptop want prepar cost,0.136363636,Positive
absolut wonder boot camp thank make content also think sql problem analyst builder fun im abl hard problem thank much,0.069444444,Positive
hi alex im problem download exact mysql system pleas need help thank,0.25,Positive
hello alex say much appreci great thing us bootcamp pure gold thank million time greet belgrad serbia,0.404761905,Positive
certif free,0.4,Positive
amaz what differ playlist cours analystbuild tri figur begin,0,Neutral
pay back wonder bootcamp youv creat us free dear alex,0.2,Positive
alex u releas power bi full cours websit,0.35,Positive
thank master alex im plan shift career engin data analyt,0,Neutral
discoveri guy alreadi spend k bootcamp bittersweet well live learn,0.136363636,Positive
wow cool dont know alex analyst data analysi bootcamp work thank alex im win cheer,0.416666667,Positive
hello alex pleas download data use analysi ought practic alongsid,0,Neutral
thank,0,Neutral
im new interest learn data analysi beginn level hope welcom,0.136363636,Positive
